id,building,geo_lat,geo_long
1,Allen House,44.460132,-93.158479
2,Brooks House,44.459634,-93.157958
3,Burton Hall,44.460522,-93.156813
4,Cassat Hall,44.460034,-93.151025
5,Clader House,44.458679,-93.157736
6,Collier House,44.459301,-93.158175
7,Colwell House,44.458795,-93.158521
8,Davis Hall,44.460105,-93.156682
9,Dixon House,44.459146,-93.158216
10,Dow House,44.458998,-93.158285
11,Eugster House,44.460032,-93.157591
12,Evans Hall,44.460518,-93.149714
13,Faculty Club,44.458964,-93.149338
14,Faculty Club Annex,44.459025,-93.149917
15,Goodhue Hall,44.462356,-93.149601
16,Hill House,44.458091,-93.155099
17,Hunt House,44.458688,-93.158254
18,Huntington House,44.458692,-93.155137
19,Memorial Hall,44.460028,-93.151822
20,Musser Hall,44.459913,-93.157234
21,Myers Hall,44.460679,-93.15075
22,Nason House,44.459799,-93.157502
23,Nourse Hall,44.460471,-93.151879
24,Owens House,44.45949,-93.158008
25,Parish House,44.457667,-93.154666
26,Rice House,44.458003,-93.155858
27,Scott House,44.459871,-93.157713
28,Severance Hall,44.460951,-93.156665
29,Watson Hall,44.459343,-93.150368
30,Wilson House,44.460306,-93.158092
31,Sayles,44.461225,-93.156087
32,Rec,44.464112,-93.149557
33,Libe,44.462346,-93.154654
34,Weitz,44.457108,-93.156158
35,LDC,44.461024,-93.151393
36,Mudd,44.460892,-93.152372
37,Olin,44.461303,-93.152846
38,Hulings,44.460834,-93.153118
39,Music,44.461374,-93.153445
40,CMC,44.462476,-93.153614
41,Laird,44.462097,-93.153919
42,Leighton,44.462073,-93.155571
43,Bald Spot,44.460982,-93.154605
44,Cowling,44.459929,-93.149681
45,Concert Hall,44.460227,-93.153227
46,Chapel,44.460231,-93.154729
47,Mini Bald Spot,44.460469,-93.151296
48,Arb,44.463551,-93.150009
49,Laird Football Stadium,44.461717,-93.158474
50,Baseball/Softball Fields,44.466131,-93.146956
51,Bell Field,44.460103,-93.148772
52,Hill of Three Oaks,44.463306,-93.147189
53,Little Bald Spot,44.460381,-93.151221
54,Lyman Lakes,44.462836,-93.151144
