building_id,avg_draw_number,room,occupancy (int),sub_free (bool),quiet (bool)
1,459,102,2,0,0
1,309,108,1,0,0
1,155,204,1,0,0
1,306,206,1,0,0
1,864,207,2,0,0
1,1105,208,2,0,0
2,30,100,4,0,0
2,25,200,4,0,0
3,571,106,1,0,0
3,459,109,1,0,0
3,670,110,1,0,0
3,506,113,1,0,0
3,565,119,3,0,0
3,683,121,1,0,0
3,370,123,1,0,0
3,298,126,3,0,0
3,566,130,1,0,0
3,330,205,3,0,0
3,226,206,1,0,0
3,358,208,1,0,0
3,397,209,3,0,0
3,370,211,1,0,0
3,529,217,1,0,0
3,326,223,1,0,0
3,136,224,3,0,0
3,358,225,1,0,0
3,415,226,1,0,0
3,375,228,1,0,0
3,232,233,3,0,0
3,694,235,1,0,0
3,549,301,3,0,0
3,531,302,3,0,0
3,440,305,3,0,0
3,334,306,3,0,0
3,496,308,3,0,0
3,497,309,2,0,0
3,253,317,2,0,0
3,315,323,1,0,0
3,370,325,3,0,0
3,253,328,1,0,0
3,235,329,3,0,0
3,504,330,2,0,0
3,400,331,2,0,0
3,261,335,2,0,0
3,1016,401,2,1,0
3,513,402,2,1,0
3,961,406,3,1,0
3,474,408,2,1,0
3,671,414,3,1,0
3,947,417,2,1,0
3,536,418,2,1,0
3,964,419,2,1,0
4,187,106,1,0,0
4,163,108,1,0,0
4,226,127,2,0,0
4,150,129,1,0,0
4,206,201,1,1,0
4,674,203,1,1,0
4,568,204,1,1,0
4,1056,207,1,1,0
4,141,208,1,1,0
4,761,212,1,1,0
4,716,213,1,1,0
4,194,217,1,1,0
4,945,220,1,1,0
4,785,221,1,1,0
4,891,226,1,1,0
4,225,227,1,1,0
4,151,301,1,0,0
4,520,302,2,0,0
4,880,305,2,0,0
4,126,308,2,0,0
4,758,312,2,0,0
4,812,313,2,0,0
4,171,317,2,0,0
4,128,318,2,0,0
4,716,319,2,0,0
4,692,322,2,0,0
4,125,327,2,0,0
4,705,328,2,0,0
4,264,401,2,0,0
4,616,402,2,0,0
4,968,403,2,0,0
4,865,404,2,0,0
4,702,405,2,0,0
4,311,408,2,0,0
4,1020,411,2,0,0
4,967,414,2,0,0
4,380,417,2,0,0
4,151,418,2,0,0
4,999,420,2,0,0
4,811,421,2,0,0
4,718,426,2,0,0
4,398,427,2,0,0
4,165,429,1,0,0
5,55,100,4,0,0
6,48,100,4,0,0
6,14,300,4,0,0
7,5,100,5,0,0
8,73,114,1,0,1
8,655,115,2,0,1
8,225,116,3,0,1
8,48,204,5,0,0
8,119,214,1,0,0
8,529,215,2,0,0
8,604,222,2,0,0
8,65,304,5,0,0
8,194,309,2,0,0
8,40,314,5,0,0
8,104,404,5,0,0
8,501,409,2,0,0
8,326,412,2,0,0
8,972,414,2,0,0
9,23,100,3,0,0
9,18,200,6,0,0
10,41,100,4,0,0
10,16,200,6,0,0
11,19,100,4,0,0
11,11,200,5,0,0
11,16,400,4,0,0
12,1169,101,2,0,0
12,872,103,2,0,0
12,1064,104,2,0,0
12,896,105,2,0,0
12,1040,107,1,0,0
12,1122,109,3,0,0
12,1240,110,2,0,0
12,1091,111,4,0,0
12,1199,112,2,0,0
12,1040,113,2,0,0
12,1095,116,2,0,0
12,892,201,2,0,0
12,1108,203,3,0,0
12,1085,204,3,0,0
12,1148,205,1,0,0
12,920,206,2,0,0
12,979,207,2,0,0
12,887,210,2,0,0
12,509,211,2,0,0
12,662,212,2,0,0
12,1044,301,2,0,0
12,1031,304,3,0,0
12,1143,305,1,0,0
12,1092,306,2,0,0
12,950,307,2,0,0
12,1032,309,2,0,0
12,641,311,2,0,0
12,780,312,2,0,0
12,1044,401,2,0,0
12,1120,403,3,0,0
12,1139,406,5,0,0
12,1031,407,2,0,0
12,861,408,2,0,0
12,986,410,2,0,0
12,776,411,2,0,0
13,522,12,6,0,1
13,1233,100,2,0,1
13,1168,101,1,0,1
13,744,102,1,0,1
13,524,103,1,0,1
13,1248,105,2,0,1
13,1281,200,2,0,1
13,1013,201,1,0,1
13,1015,202,1,0,1
13,974,203,1,0,1
13,762,204,1,0,1
13,1307,205,2,0,1
14,101,200,2,0,1
15,1279,102,1,0,0
15,1351,113,1,0,0
15,1304,115,1,0,0
15,1342,137,1,0,0
15,1270,139,1,0,0
15,818,202,1,1,0
15,1207,207,1,1,0
15,956,208,2,1,0
15,1247,209,1,1,0
15,1266,214,2,1,0
15,1294,216,2,1,0
15,885,219,2,1,0
15,1329,223,2,1,0
15,1360,228,2,1,0
15,1263,243,1,1,0
15,1014,302,2,0,0
15,1136,305,2,0,0
15,573,308,2,0,0
15,1180,309,2,0,0
15,1218,314,2,0,0
15,1190,315,2,0,0
15,1101,319,2,0,0
15,1351,328,2,0,0
15,1276,335,2,0,0
15,1219,339,2,0,0
15,1135,402,2,0,0
15,1158,408,2,0,0
15,1164,409,2,0,0
15,1185,415,2,0,0
15,1138,419,2,0,0
15,1295,428,2,0,0
